Id	Desc	BelleCount	BelleID	Addition_Value_0	Addition_Value_1	Addition_Valuev_1	Addition_Valuev_3	Addition_Valuev_4
INT	STRING	INT	INT	INT	INT	INT	INT	INT
#MAX_ID=10000;MAX_RECORD=500;TableType=Hash;								
#本行程序不读	描述	美人总数	加成美人ID	1阶加成值	2阶加成值	3阶加成值	4阶加成值	5阶加成值
1		2	14	228	6	7	10	15
2		2	13	274	8	5	11	18
3		2	6	365	7	6	15	23
4		2	5	456	8	14	19	29
5		2	10	10	6	7	10	15
6		2	9	11	8	5	11	18
7		2	0	15	7	6	15	23
8		2	3	19	8	14	19	29
9		2	12	15	4	4	10	15
10		2	11	18	5	9	11	18
11		2	1	23	10	12	15	23
12		2	4	29	12	7	19	29
13		2	7	29	12	14	19	29
14		2	2	19	8	7	19	29
15		2	8	456	12	7	19	29
16		3	14	456	12	14	19	29
17		3	13	548	15	9	22	35
18		3	6	730	13	12	30	46
19		3	5	912	16	28	37	58
20		3	10	19	12	14	19	29
21		3	9	22	15	9	22	35
22		3	0	30	13	12	30	46
23		3	3	37	16	28	37	58
24		3	12	29	8	7	19	29
25		3	11	35	10	17	22	35
26		3	1	46	20	23	30	46
27		3	4	58	24	14	37	58
28		3	7	58	24	28	37	58
29		3	2	37	16	14	37	58
30		3	8	912	24	14	37	58
31		4	14	684	18	21	28	44
32		4	13	821	22	13	33	52
33		4	6	1095	20	17	44	69
34		4	5	1368	24	42	55	86
35		4	10	28	18	21	28	44
36		4	9	33	22	13	33	52
37		4	0	44	20	17	44	69
38		4	3	55	24	42	55	86
39		4	12	44	12	11	28	44
40		4	11	52	15	26	33	52
41		4	1	69	29	34	44	69
42		4	4	86	36	21	55	86
43		4	7	86	36	42	55	86
44		4	2	55	24	21	55	86
45		4	8	1368	36	21	55	86
46		5	14	912	24	28	37	58
47		5	13	1095	29	17	44	69
48		5	6	1460	26	23	59	92
49		5	5	1824	32	56	73	115
50		5	10	37	24	28	37	58
51		5	9	44	29	17	44	69
52		5	0	59	26	23	59	92
53		5	3	73	32	56	73	115
54		5	12	58	16	14	37	58
55		5	11	69	20	34	44	69
56		5	1	92	39	45	59	92
57		5	4	115	48	28	73	115
58		5	7	115	48	56	73	115
59		5	2	73	32	28	73	115
60		5	8	1824	48	28	73	115
61		6	14	1140	30	35	46	72
62		6	13	1368	36	21	55	86
63		6	6	1824	32	28	73	115
64		6	5	2280	40	70	91	144
65		6	10	46	30	35	46	72
66		6	9	55	36	21	55	86
67		6	0	73	32	28	73	115
68		6	3	91	40	70	91	144
69		6	12	72	20	18	46	72
70		6	11	86	24	42	55	86
71		6	1	115	48	56	73	115
72		6	4	144	60	35	91	144
73		6	7	144	60	70	91	144
74		6	2	91	40	35	91	144
75		6	8	2280	60	35	91	144
76		7	14	1368	36	42	55	87
77		7	13	1642	44	26	66	104
78		7	6	2189	39	34	88	138
79		7	5	2736	48	84	110	172
80		7	10	55	36	42	55	87
81		7	9	66	44	26	66	104
82		7	0	88	39	34	88	138
83		7	3	110	48	84	110	172
84		7	12	87	24	21	55	87
85		7	11	104	29	51	66	104
86		7	1	138	58	68	88	138
87		7	4	172	72	42	110	172
88		7	7	172	72	84	110	172
89		7	2	110	48	42	110	172
90		7	8	2736	72	42	110	172
91		8	14	1596	42	49	64	101
92		8	13	1916	51	30	77	121
93		8	6	2554	45	40	102	161
94		8	5	3192	56	98	128	201
95		8	10	64	42	49	64	101
96		8	9	77	51	30	77	121
97		8	0	102	45	40	102	161
98		8	3	128	56	98	128	201
99		8	12	101	28	25	64	101
100		8	11	121	34	59	77	121
101		8	1	161	68	79	102	161
102		8	4	201	84	49	128	201
103		8	7	201	84	98	128	201
104		8	2	128	56	49	128	201
105		8	8	3192	84	49	128	201
106		9	14	1824	48	56	73	115
107		9	13	2189	58	34	88	138
108		9	6	2919	52	45	117	184
109		9	5	3648	64	112	146	230
110		9	10	73	48	56	73	115
111		9	9	88	58	34	88	138
112		9	0	117	52	45	117	184
113		9	3	146	64	112	146	230
114		9	12	115	32	28	73	115
115		9	11	138	39	68	88	138
116		9	1	184	77	90	117	184
117		9	4	230	96	56	146	230
118		9	7	230	96	112	146	230
119		9	2	146	64	56	146	230
120		9	8	3648	96	56	146	230
121		10	14	2280	60	70	91	144
122		10	13	2736	72	42	109	172
123		10	6	3648	64	56	146	229
124		10	5	4560	80	140	182	287
125		10	10	91	60	70	91	144
126		10	9	109	72	42	109	172
127		10	0	146	64	56	146	229
128		10	3	182	80	140	182	287
129		10	12	144	40	35	91	144
130		10	11	172	48	84	109	172
131		10	1	229	96	112	146	229
132		10	4	287	120	70	182	287
133		10	7	287	120	140	182	287
134		10	2	182	80	70	182	287
135		10	8	4560	120	70	182	287
136		11	14	2736	72	84	110	173
137		11	13	3284	87	51	131	207
138		11	6	4378	77	68	175	275
139		11	5	5472	96	168	219	344
140		11	10	110	72	84	110	173
141		11	9	131	87	51	131	207
142		11	0	175	77	68	175	275
143		11	3	219	96	168	219	344
144		11	12	173	48	42	110	173
145		11	11	207	58	101	131	207
146		11	1	275	116	135	175	275
147		11	4	344	144	84	219	344
148		11	7	344	144	168	219	344
149		11	2	219	96	84	219	344
150		11	8	5472	144	84	219	344
151		12	14	3192	84	98	128	201
152		12	13	3831	101	59	153	241
153		12	6	5108	90	79	204	321
154		12	5	6384	112	196	255	402
155		12	10	128	84	98	128	201
156		12	9	153	101	59	153	241
157		12	0	204	90	79	204	321
158		12	3	255	112	196	255	402
159		12	12	201	56	49	128	201
160		12	11	241	68	118	153	241
161		12	1	321	135	157	204	321
162		12	4	402	168	98	255	402
163		12	7	402	168	196	255	402
164		12	2	255	112	98	255	402
165		12	8	6384	168	98	255	402
166		13	14	3648	96	112	146	230
167		13	13	4378	116	68	175	276
168		13	6	5837	103	90	233	367
169		13	5	7296	128	224	292	459
170		13	10	146	96	112	146	230
171		13	9	175	116	68	175	276
172		13	0	233	103	90	233	367
173		13	3	292	128	224	292	459
174		13	12	230	64	56	146	230
175		13	11	276	77	135	175	276
176		13	1	367	154	180	233	367
177		13	4	459	192	112	292	459
178		13	7	459	192	224	292	459
179		13	2	292	128	112	292	459
180		13	8	7296	192	112	292	459
181		14	14	4104	108	126	164	259
182		14	13	4925	130	76	197	310
183		14	6	6567	116	101	262	413
184		14	5	8208	144	252	328	516
185		14	10	164	108	126	164	259
186		14	9	197	130	76	197	310
187		14	0	262	116	101	262	413
188		14	3	328	144	252	328	516
189		14	12	259	72	63	164	259
190		14	11	310	87	152	197	310
191		14	1	413	173	202	262	413
192		14	4	516	216	126	328	516
193		14	7	516	216	252	328	516
194		14	2	328	144	126	328	516
195		14	8	8208	216	126	328	516
196		15	14	4560	120	140	182	287
197		15	13	5472	144	84	218	344
198		15	6	7296	128	112	291	458
199		15	5	9120	160	280	364	573
200		15	10	182	120	140	182	287
201		15	9	218	144	84	218	344
202		15	0	291	128	112	291	458
203		15	3	364	160	280	364	573
204		15	12	287	80	70	182	287
205		15	11	344	96	168	218	344
206		15	1	458	192	224	291	458
207		15	4	573	240	140	364	573
208		15	7	573	240	280	364	573
209		15	2	364	160	140	364	573
210		15	8	9120	240	140	364	573
