Id	Desc	BelleNatrue	MatrixIndexNature	AttrType	AttrGains
INT	STRING	INT	INT	INT	INT
#MAX_ID=1000;MAX_RECORD=100;TableType=Hash;					
#本行程序不读	描述	美人五行属性	阵位五行属性	属性类型	属性值
0	无	1	1	9	100
1	无	1	2	10	100
2	无	1	3	7	100
3	无	1	4	8	100
4	无	1	5	1000	100
5	无	2	1	1001	100
6	无	2	2	0	100
7	无	2	3	9	100
8	无	2	4	10	100
9	无	3	5	7	100
10	无	3	1	8	100
11	无	3	2	1000	100
12	无	3	3	1001	100
13	无	3	4	0	100
14	无	4	5	9	100
15	无	4	1	10	100
16	无	4	2	7	100
17	无	4	3	8	100
18	无	4	4	1000	100
19	无	5	5	1001	100
20	无	5	1	0	100
21	无	5	2	8	100
22	无	5	3	1000	100
23	无	5	4	1001	100
24	无	5	5	0	100
