SkillID	SkillType	JobID	CDTime	SkillContinueTime	ExpendType	ExpendValue	SkillExID	LuaID	TargetType	IsCanFly	FlightSpeed	IsCanTrack	BreakType	DefultEffectPointDis	UseRange	SearchRadius	ReleaseRadius	RangeType	RangeValue1	RangeValue2	MaxHitAmount	NextSkillID	ComboTime	LinkSkillID	LinkStartTime	LinkEndTime	SecondStorageTime	SecondStorageSkillID	ThirdStrageTime	ThirdStrageSkillID	MaxStrageTime	SatrtAnimId	EndAnimId	HitEffectId	SkillStopEffect	SkillNameID	SkillAtlas	SkillIcon	SkillDescribeID	NextSkillDescribeID	SkillLevel
INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	BOOL	FLOAT	BOOL	INT	FLOAT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	BOOL	STRING	STRING	STRING	STRING	STRING	INT
#预留																																									
#技能ID	技能类型	职业ID	技能CD（毫秒）	技能持续时间（毫秒）	释放消耗类型	技能释放消耗	SkillEX表ID	脚本ID	锁定目标类型	是否为飞行	飞行速度	飞行是否追踪	打断类型	无目标情况下特效以及伤害作用位置	施法范围	技能的搜索范围	释放锁定目标的距离	技能攻击范围类型	范围参数1	范围参数2	技能最大命中数量	下一击技能ID	连击持续有效时间（毫秒）	目押技能ID	目押的起始时间（毫秒）	目押的结束时间（毫秒）	二段蓄力时长（毫秒）	二段蓄力技能ID	三段蓄力时长（毫秒）	三段效果技能ID	最大蓄力时间（毫秒）	起始动作ID	结束动作ID	受击特效	技能结束时需要停止的特效	技能名字	技能Icon图集	技能Icon	技能描述	下一级技能描述	技能等级
1006	3	1	6000	800	1	0	1006	0	5	0	0	0	3	0	2	0	0	1	3	0	5	0	0	0	0	0	1000	1013	2000	1014	3000	1100	1100	30000	1	小旋风 Lv.1	0	Tex_Icon_Skill_KZS_XiaoXuanFeng	旋转一圈对自身圆形范围内的所有敌人造成160%伤害，并降低物理防御5点，持续6秒	旋转一圈对自身圆形范围内的所有敌人造成180%伤害，并降低物理防御5点，持续6秒	1
1007	1	1	45000	1000	1	0	1007	0	5	0	0	0	1	0	8	0	0	3	6	2	5	0	0	0	0	0	0	0	0	0	0	1108	1108	30000	1	压制	0	Tex_Icon_Skill_KZS_XiaoXuanFeng	无	无	1
1008	1	1	24000	1000	1	0	1008	0	1	0	0	0	1	0	100	10	8	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1101	1101	0	1	怒气爆发 Lv.1	0	Tex_Icon_Skill_KZS_NuQiBaoFa	立即解除自身控制效果，并4秒内免疫所有控制效果，移动速度增加40%，持续12秒	立即解除自身控制效果，并5秒内免疫所有控制效果，移动速度增加45%，持续12秒	1
1009	4	1	12000	1134	1	0	1009	0	5	0	0	0	1	0	10	0	0	1	3.5	0	99	0	0	1015	700	1500	0	0	0	0	0	1102	1103	30000	1	风暴之怒 Lv.1	0	Tex_Icon_Skill_KZS_FengBaoZhiNu	跳向前方，对3m范围内所有敌人造成160%伤害；并降低目标移动速度30%，持续4S	跳向前方，对3m范围内所有敌人造成180%伤害；并降低目标移动速度30%，持续4S	1
1010	1	1	18000	1000	1	0	1010	0	1	0	0	0	3	0	100	10	8	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1109	1109	0	1	废弃技能	0	Tex_Icon_Skill_KZS_XiaoXuanFeng	无	无	1
1011	1	1	18000	3400	1	0	1011	0	5	0	0	0	1	0	3	0	0	1	4	0	10	0	0	0	0	0	0	0	0	0	0	1104	1105	30000	1	回旋利刃 Lv.1	0	Tex_Icon_Skill_KZS_HuiXuanLiRen	持续3秒每0.3秒对周围3米内的敌人造成110%的伤害，释放过程中角色保持可移动状态	持续3秒每0.3秒对周围3米内的敌人造成115%的伤害，释放过程中角色保持可移动状态	1
1012	1	1	24000	900	1	0	1012	0	5	0	0	0	3	0	3	0	0	1	4	0	10	0	0	0	0	0	0	0	0	0	0	1107	1107	30000	1	践踏 Lv.1	0	Tex_Icon_Skill_KZS_JianTa	对自身圆形3m范围内的敌人造成400%伤害，并眩晕目标2秒	对自身圆形3m范围内的敌人造成440%伤害，并眩晕目标2秒0	1
